uid,name,username,country,email,birthday,credit info
308,Soraya D'Angelo,Sor16,Russia,Soraya.D'Angelo@mail.mcgill.ca,1955-02-12,6008646247690590
11,Kyra Rodriguez,Kyr154,England,Kyra.Rodriguez@gmail.com,2003-06-06,5632429362002170
85,Bahar Meijer,Bah317,England,Bahar.Meijer@gmail.com,1955-04-28,7338514879985480
127,Elio Markoski,Eli80,England,Elio.Markoski@mail.mcgill.ca,1971-05-07,6259873093121180
105,Sam Markoski,Sam363,France,Sam.Markoski@mail.mcgill.ca,1963-04-16,7277561407260130
20,Soraya Porta,Sor110,United States,Soraya.Porta@yahoo.com,1961-07-18,5495337528056290
296,Tara Garcia,Tar73,Spain,Tara.Garcia@yahoo.com,2006-02-13,3755880998980120
26,Misgana Jones,Mis192,China,Misgana.Jones@mail.mcgill.ca,1985-04-09,7639898789226840
8,Magnus Leone,Mag126,Canada,Magnus.Leone@mail.mcgill.ca,2003-12-10,8417467905384310
27,Louise Porta,Lou1,France,Louise.Porta@gmail.com,1967-06-28,2691308780326620
190,Roshane Garcia,Ros286,Mexico,Roshane.Garcia@yahoo.com,1984-07-03,6099073199836660
19,Kyra Williams,Kyr255,China,Kyra.Williams@gmail.com,1977-04-01,9567977098034330
366,Sam Garcia,Sam226,Vietnam,Sam.Garcia@mail.mcgill.ca,1978-03-18,4449121652527550
162,Roshane Jones,Ros155,Egypt,Roshane.Jones@yahoo.com,1972-11-26,3945600123479450
120,Janna Leone,Jan186,France,Janna.Leone@gmail.com,1995-02-15,1460275799425590
373,Roshane Markoski,Ros334,Russia,Roshane.Markoski@mail.mcgill.ca,2001-08-01,2908916829501810
17,Kyra Meijer,Kyr321,Canada,Kyra.Meijer@mail.mcgill.ca,1991-10-27,9551024579094650
52,Karim Markoski,Kar95,Spain,Karim.Markoski@yahoo.com,1967-11-14,3818926987471770
229,Magnus D'Angelo,Mag109,Egypt,Magnus.D'Angelo@yahoo.com,1986-07-14,1174698944795490
138,Theo Nguyen,The16,China,Theo.Nguyen@gmail.com,1998-02-18,6785497911284700
318,Elio Porta,Eli339,Canada,Elio.Porta@mail.mcgill.ca,1978-08-09,7741078920418650
263,Theo Patel,The211,France,Theo.Patel@yahoo.com,1979-09-08,6686856467171570
124,Olive Garcia,Oli291,Egypt,Olive.Garcia@gmail.com,1951-12-16,3674673465305050
221,Louise Williams,Lou317,Vietnam,Louise.Williams@yahoo.com,1967-06-28,7442742616054350
149,Noreen Meijer,Nor62,Russia,Noreen.Meijer@gmail.com,2003-09-23,1289175794871110
166,Louise Garcia,Lou225,Russia,Louise.Garcia@yahoo.com,1994-02-03,9460183788521360
102,Kian Wang,Kia244,Vietnam,Kian.Wang@yahoo.com,2004-07-18,4030842988569550
315,Maanav Williams,Maa293,Canada,Maanav.Williams@yahoo.com,1970-07-19,9659080317188640
88,Roshane Meijer,Ros309,Canada,Roshane.Meijer@mail.mcgill.ca,1988-04-29,7432664885226900
224,Elio Wilson,Eli193,England,Elio.Wilson@yahoo.com,1970-09-25,7944197420107240
379,Sam Leone,Sam274,England,Sam.Leone@mail.mcgill.ca,1964-01-29,2359211917784320
264,Tara Wilson,Tar36,Canada,Tara.Wilson@yahoo.com,1980-10-19,2981316731759640
84,Bahar Castelli,Bah150,Italy,Bahar.Castelli@mail.mcgill.ca,1989-06-05,3593795268212410
78,Misgana Markoski,Mis242,Canada,Misgana.Markoski@mail.mcgill.ca,1971-05-11,6806184226325760
303,Kyra Rodriguez,Kyr223,Vietnam,Kyra.Rodriguez@gmail.com,1993-09-04,8849899931255280
18,Sam Wilson,Sam141,England,Sam.Wilson@mail.mcgill.ca,1954-08-05,8473051604048660
59,Olive Garcia,Oli287,France,Olive.Garcia@mail.mcgill.ca,1954-04-12,8294838697165560
219,Thomas Castelli,Tho117,China,Thomas.Castelli@yahoo.com,1952-01-12,9769861522298430
54,Olive Castelli,Oli30,Vietnam,Olive.Castelli@yahoo.com,1962-04-06,1557377128938190
197,Thomas Rodriguez,Tho104,Bolivia,Thomas.Rodriguez@mail.mcgill.ca,1989-06-14,8804137299946440
180,Janna Markoski,Jan160,Egypt,Janna.Markoski@mail.mcgill.ca,1977-12-20,2943302617458460
345,Roshane Kourilsky,Ros227,Vietnam,Roshane.Kourilsky@yahoo.com,1995-10-28,1303944227228380
331,Olive Rodriguez,Oli249,Egypt,Olive.Rodriguez@mail.mcgill.ca,1960-12-16,2840419559012140
304,Zhang Porta,Zha254,Spain,Zhang.Porta@yahoo.com,1963-02-10,7554562961073190
319,Maanav Kourilsky,Maa259,England,Maanav.Kourilsky@yahoo.com,1979-09-22,1839905418359370
113,Janna Jones,Jan-95,Italy,Janna.Jones@mail.mcgill.ca,1963-04-04,2580222128010700
311,Karim Porta,Kar354,Vietnam,Karim.Porta@mail.mcgill.ca,1955-07-03,2468943145338540
41,Olive Nguyen,Oli201,Russia,Olive.Nguyen@gmail.com,2001-11-24,9653700112515780
211,Noreen Markoski,Nor339,Mexico,Noreen.Markoski@mail.mcgill.ca,2004-04-22,4718199079336240
82,Elio Castelli,Eli155,Egypt,Elio.Castelli@gmail.com,1972-07-21,4520128221957150
,,,,,,
