uid,name,username,country,email,birthday,credit info
89,Kyra Jones,Kyr13,Spain,Kyra.Jones@yahoo.com,1952-12-01,2.32881E+15
13,Maanav Patel,Maa92,United States,Maanav.Patel@mail.mcgill.ca,1974-07-14,2.47009E+15
334,Magnus Kourilsky,Mag138,France,Magnus.Kourilsky@yahoo.com,1950-01-11,3.2732E+15
329,Karim Angelo,Kar66,Vietnam,Karim.Angelo@mail.mcgill.ca,2007-11-07,3.5477E+15
246,Maanav Kourilsky,Maa314,Canada,Maanav.Kourilsky@mail.mcgill.ca,1955-05-12,2.84549E+15
27,Theo Jones,The234,Mexico,Theo.Jones@gmail.com,1979-08-28,1.73103E+15
216,Misgana Kourilsky,Mis218,Vietnam,Misgana.Kourilsky@yahoo.com,1979-06-07,6.42223E+15
315,Thomas Wang,Tho347,Russia,Thomas.Wang@yahoo.com,1953-01-16,1.49939E+15
145,Janna Garcia,Jan150,France,Janna.Garcia@yahoo.com,1966-01-22,7.15016E+15
270,Janna Angelo,Jan-74,England,Janna.Angelo@gmail.com,1962-04-12,1.38991E+15
113,Bahar Markoski,Bah359,Russia,Bahar.Markoski@mail.mcgill.ca,1969-08-07,6.18845E+15
238,Maanav Leone,Maa115,Italy,Maanav.Leone@gmail.com,1996-05-12,5.06006E+15
387,Olive Meijer,Oli389,United States,Olive.Meijer@mail.mcgill.ca,2004-12-04,3.46203E+15
236,Louise Castelli,Lou324,Egypt,Louise.Castelli@mail.mcgill.ca,1959-03-10,6.23408E+15
146,Tara Angelo,Tar397,Russia,Tara.Angelo@yahoo.com,1953-09-12,7.8056E+15
358,Louise Castelli,Lou121,Vietnam,Louise.Castelli@yahoo.com,2001-04-21,6.31552E+15
124,Louise Williams,Lou160,England,Louise.Williams@mail.mcgill.ca,1960-08-01,6.33941E+15
353,Zhang Wang,Zha54,Italy,Zhang.Wang@gmail.com,1997-11-17,6.75578E+15
143,Janna Porta,Jan327,Russia,Janna.Porta@gmail.com,1957-11-24,5.20011E+15
335,Kian Porta,Kia276,Vietnam,Kian.Porta@gmail.com,1953-05-22,5.667E+15
144,Misgana Markoski,Mis136,United States,Misgana.Markoski@gmail.com,1980-05-09,6.0289E+15
173,Magnus Nguyen,Mag72,China,Magnus.Nguyen@yahoo.com,1974-02-16,6.85372E+15
163,Kyra Kourilsky,Kyr262,France,Kyra.Kourilsky@gmail.com,1956-01-10,6.19987E+15
171,Soraya Wilson,Sor168,Spain,Soraya.Wilson@mail.mcgill.ca,1996-12-21,5.48883E+15
354,Louise Nguyen,Lou257,Russia,Louise.Nguyen@yahoo.com,2007-04-16,4.51006E+15
200,Elio Jones,Eli240,Bolivia,Elio.Jones@gmail.com,1980-07-29,2.32556E+15
231,Louise Jones,Lou25,United States,Louise.Jones@mail.mcgill.ca,1975-06-14,1.82263E+15
281,Magnus Wilson,Mag223,Spain,Magnus.Wilson@gmail.com,1969-05-03,2.6496E+15
359,Misgana Nguyen,Mis293,Italy,Misgana.Nguyen@mail.mcgill.ca,1996-12-27,4.79964E+15
118,Karim Markoski,Kar106,Spain,Karim.Markoski@gmail.com,1957-03-27,6.98616E+15
177,Misgana Wilson,Mis106,Mexico,Misgana.Wilson@yahoo.com,1990-08-11,8.75051E+15
373,Bahar Jones,Bah232,Bolivia,Bahar.Jones@yahoo.com,1965-08-11,7.76724E+15
71,Magnus Castelli,Mag385,Bolivia,Magnus.Castelli@yahoo.com,1965-12-24,8.34784E+15
107,Theo Angelo,The282,France,Theo.Angelo@yahoo.com,2000-02-26,4.19699E+15
69,Zhang Wang,Zha275,Egypt,Zhang.Wang@yahoo.com,2004-07-03,6.83408E+15
395,Olive Leone,Oli278,Egypt,Olive.Leone@gmail.com,1972-06-07,6.6114E+15
38,Kian Kourilsky,Kia160,China,Kian.Kourilsky@gmail.com,1959-12-29,1.46973E+15
323,Tara Rodriguez,Tar98,Canada,Tara.Rodriguez@yahoo.com,1988-07-09,5.3999E+15
368,Elio Jones,Eli68,China,Elio.Jones@mail.mcgill.ca,1997-11-19,5.08082E+15
12,Misgana Rodriguez,Mis96,England,Misgana.Rodriguez@mail.mcgill.ca,1994-07-19,9.92454E+15
164,Tara Markoski,Tar227,Russia,Tara.Markoski@yahoo.com,1989-08-28,1.33249E+15
365,Theo Wilson,The376,Bolivia,Theo.Wilson@mail.mcgill.ca,1962-06-04,8.6506E+15
179,Magnus Angelo,Mag130,Egypt,Magnus.Angelo@mail.mcgill.ca,1993-01-10,6.21989E+15
320,Sam Kourilsky,Sam93,China,Sam.Kourilsky@mail.mcgill.ca,2001-01-29,6.6325E+15
253,Janna Jones,Jan280,United States,Janna.Jones@gmail.com,2000-07-07,4.92418E+15
34,Sam Nguyen,Sam113,United States,Sam.Nguyen@yahoo.com,2004-01-18,7.32395E+15
108,Karim Porta,Kar99,Egypt,Karim.Porta@gmail.com,1984-10-14,2.69636E+15
310,Olive Wilson,Oli140,Mexico,Olive.Wilson@gmail.com,1974-12-10,6.23929E+15
168,Misgana Porta,Mis298,Vietnam,Misgana.Porta@gmail.com,2007-07-02,6.97196E+15
185,Max Williams,Max186,Italy,Max.Williams@gmail.com,1977-11-16,3.41326E+15
