uid,name,username,country,email,birthday,credit info
57,Zhang Jones,Zha368,China,Zhang.Jones@gmail.com,1991-7-29,1427123386360911
224,Karim Wilson,Kar159,Egypt,Karim.Wilson@mail.mcgill.ca,2002-1-13,5552251147447147
6,Noreen Rodriguez,Nor173,England,Noreen.Rodriguez@yahoo.com,1962-2-25,2160582883515505
298,Kian Castelli,Kia80,United States,Kian.Castelli@yahoo.com,1964-5-19,4790433284728641
12,Zhang Williams,Zha285,United States,Zhang.Williams@gmail.com,2001-4-12,7111329962410107
327,Thomas D'Angelo,Tho58,France,Thomas.D'Angelo@gmail.com,1964-7-11,2915302336934331
237,Karim Castelli,Kar290,United States,Karim.Castelli@yahoo.com,1959-11-19,7909337852120122
379,Thomas Kourilsky,Tho87,Egypt,Thomas.Kourilsky@yahoo.com,1992-4-25,5185922955202904
115,Misgana Castelli,Mis82,Italy,Misgana.Castelli@mail.mcgill.ca,1981-1-9,3675211744192050
364,Theo Williams,The335,Spain,Theo.Williams@yahoo.com,1965-5-14,3764976657916659
111,Kyra Rodriguez,Kyr230,Canada,Kyra.Rodriguez@mail.mcgill.ca,1953-6-18,2447400509191475
328,Elio Williams,Eli233,United States,Elio.Williams@mail.mcgill.ca,2007-11-21,7088904754451516
146,Max Castelli,Max211,Spain,Max.Castelli@mail.mcgill.ca,1957-3-15,8148125307848969
388,Sam Nguyen,Sam263,Vietnam,Sam.Nguyen@gmail.com,1999-6-13,1523298189315954
190,Misgana Markoski,Mis397,England,Misgana.Markoski@gmail.com,1960-6-10,3673116898716000
47,Noreen Kourilsky,Nor129,Spain,Noreen.Kourilsky@gmail.com,1955-12-25,1645685389258877
112,Tara Rodriguez,Tar298,Canada,Tara.Rodriguez@yahoo.com,1988-1-3,2670728484528267
223,Thomas Markoski,Tho231,Russia,Thomas.Markoski@gmail.com,1975-3-28,6838463775288510
317,Soraya D'Angelo,Sor107,Russia,Soraya.D'Angelo@gmail.com,2005-3-7,5180178426000033
148,Max Garcia,Max357,Bolivia,Max.Garcia@gmail.com,1993-9-10,4063530224223794
398,Karim Markoski,Kar386,United States,Karim.Markoski@yahoo.com,1967-2-19,9255954313325628
344,BaharMaanav Wang,Bah203,Spain,BaharMaanav.Wang@mail.mcgill.ca,1999-11-11,7262471821270003
394,Kyra Castelli,Kyr31,Italy,Kyra.Castelli@yahoo.com,1971-9-6,6097181412429493
10,Theo Wilson,The148,Canada,Theo.Wilson@mail.mcgill.ca,1959-8-7,5680224265787051
391,Sam Garcia,Sam51,China,Sam.Garcia@gmail.com,1971-3-24,2459151802068965
201,BaharMaanav Nguyen,Bah84,United States,BaharMaanav.Nguyen@gmail.com,1966-2-12,2807305205961316
240,Noreen Meijer,Nor83,Mexico,Noreen.Meijer@mail.mcgill.ca,2005-10-19,5313844843122087
36,Zhang Wilson,Zha180,China,Zhang.Wilson@gmail.com,1963-4-5,3795169405398016
332,Olive Williams,Oli54,Italy,Olive.Williams@mail.mcgill.ca,1988-11-29,1814797391032239
259,Max Kourilsky,Max142,Bolivia,Max.Kourilsky@mail.mcgill.ca,1985-10-11,5106231504216572
355,Kyra Porta,Kyr220,Mexico,Kyra.Porta@mail.mcgill.ca,1992-4-14,7145499646013725
51,Karim Williams,Kar220,Egypt,Karim.Williams@yahoo.com,1985-9-5,1376092830462254
84,Thomas Markoski,Tho355,Russia,Thomas.Markoski@yahoo.com,1989-10-24,1425976933677495
217,Tara Nguyen,Tar69,Italy,Tara.Nguyen@mail.mcgill.ca,1971-11-24,6046702586478454
25,Zhang Meijer,Zha80,England,Zhang.Meijer@mail.mcgill.ca,1988-10-28,6088104257603773
282,Thomas Garcia,Tho215,Russia,Thomas.Garcia@yahoo.com,1979-5-1,4104536506317209
226,Tara Porta,Tar43,Vietnam,Tara.Porta@gmail.com,1995-1-4,2654510907407900
107,Tara Wang,Tar58,Egypt,Tara.Wang@yahoo.com,1964-1-4,2569224815834404
258,Janna Markoski,Jan222,Mexico,Janna.Markoski@gmail.com,1989-2-13,4950242994500190
349,Roshane Markoski,Ros75,Mexico,Roshane.Markoski@mail.mcgill.ca,1998-4-22,9318190668085404
319,Theo Leone,The333,England,Theo.Leone@yahoo.com,1989-6-2,9114999246497731
79,Louise Kourilsky,Lou237,France,Louise.Kourilsky@mail.mcgill.ca,1986-9-8,5016368466804938
117,Janna Kourilsky,Jan99,China,Janna.Kourilsky@mail.mcgill.ca,1960-2-4,6197778580033816
273,Louise Markoski,Lou84,Bolivia,Louise.Markoski@mail.mcgill.ca,1961-10-8,6437150740319237
104,Olive Wang,Oli334,Italy,Olive.Wang@yahoo.com,1969-5-1,4837828820009101
78,Karim Kourilsky,Kar197,England,Karim.Kourilsky@yahoo.com,1975-12-29,8236969158723850
22,Kyra Porta,Kyr371,Bolivia,Kyra.Porta@yahoo.com,1994-2-5,5627591711327197
28,Kyra Castelli,Kyr308,Vietnam,Kyra.Castelli@mail.mcgill.ca,1959-3-15,6570887787336428
185,Karim Wilson,Kar396,Bolivia,Karim.Wilson@yahoo.com,1967-5-6,8130238901492410
59,Soraya Wang,Sor338,Bolivia,Soraya.Wang@gmail.com,1951-8-27,2143533593842204
